x,y,z,timestamp
-0.85,-0.73,0.0,1742216361.3789961
-0.24,-0.37,0.06,1742216366.957877
-0.31,-0.37,0.06,1742216371.364346
-0.37,-0.43,0.06,1742216376.5814838
-0.31,-0.31,0.06,1742216381.395882
-0.49,-0.43,0.0,1742216386.7807112
-0.31,-0.43,0.06,1742216391.5066004
-0.37,-0.37,0.06,1742216396.4238517
-0.06,0.0,0.0,1742216401.4039419
-0.24,-0.31,0.0,1742216406.650905
0.0,-0.12,-0.06,1742216411.4696612
-0.61,-0.49,-0.06,1742216416.5801964
-0.37,-0.43,0.0,1742216421.658044
-0.06,0.31,0.12,1742216426.961247
-0.43,-0.43,0.0,1742216431.6210742
-0.43,-0.49,0.0,1742216436.422795
-0.55,-0.43,0.24,1742216441.4545379
-0.37,-0.43,0.06,1742216446.828713
-0.24,-0.43,0.0,1742216451.4234915
0.37,-0.37,0.18,1742216456.5895858
-0.55,-0.43,0.06,1742216461.4725688
-0.24,-0.37,0.0,1742216466.8835218
-0.37,-0.37,0.06,1742216471.6273468
-0.43,-0.43,0.0,1742216476.611917
-0.18,-0.37,-0.06,1742216481.5016053
-0.61,-0.12,-0.12,1742216486.9438531
-0.06,-0.24,0.0,1742216491.799118
-0.24,-0.55,0.24,1742216496.5814252
-0.12,0.12,0.0,1742216501.7110312
0.31,-0.18,0.0,1742216507.022512
-1.04,-0.73,-0.43,1742216511.5003998
-0.79,-0.43,0.18,1742216516.7548597
-0.55,1.34,0.67,1742216521.8619823
-0.98,-0.49,-0.06,1742216526.9106247
-0.43,-0.43,0.12,1742216531.7262394
-0.55,-0.37,0.0,1742216536.527221
-0.55,-0.31,0.06,1742216541.5490038
0.06,-0.67,0.31,1742216546.9670339
-0.43,-0.37,0.12,1742216551.5487306
-0.31,-0.24,0.0,1742216556.6856463
-0.37,-0.43,0.06,1742216561.6243148
-0.31,-0.43,0.06,1742216567.0271735
-0.37,-0.37,0.06,1742216571.7292476
-0.55,-0.31,0.0,1742216576.848068
-0.24,-0.43,0.06,1742216581.5667827
-0.24,-0.24,0.0,1742216587.0881038
-0.43,-0.43,0.06,1742216591.8924491
-0.73,-0.55,0.18,1742216596.5860474
-1.1,-1.04,0.06,1742216601.8057122
-0.06,-0.43,0.24,1742216606.971184
-0.43,-0.67,0.0,1742216611.6081243
-0.37,-0.55,0.0,1742216616.6051133
-0.79,-0.12,0.0,1742216621.6669443
0.18,-0.31,0.06,1742216627.0322125
-0.49,-0.49,0.06,1742216631.9109645
-0.24,-0.31,0.06,1742216636.6272545
-0.24,-0.31,0.06,1742216641.809807
-0.18,-0.37,0.06,1742216647.3078074
-0.24,-0.43,0.06,1742216651.7100382
-0.49,-0.49,0.12,1742216656.8468227
-0.37,-0.31,0.0,1742216661.6689262
-0.06,-0.37,0.18,1742216666.9969525
-0.92,-0.49,-0.06,1742216671.730637
-0.55,-0.37,0.0,1742216678.9401708
-0.31,-0.43,0.06,1742216681.6654968
-0.37,-0.43,0.12,1742216687.0290997
-0.43,-0.37,0.0,1742216691.7485335
0.06,-0.37,0.06,1742216696.6870494
-0.49,-0.37,0.06,1742216701.703736
-1.34,-1.4,0.06,1742216711.8370264
-0.31,-0.31,0.0,1742216707.2835405
-0.43,-0.31,0.06,1742216717.006033
-0.49,-0.31,-0.06,1742216721.8130238
-0.67,-0.49,0.0,1742216727.5724041
-0.43,-0.43,0.18,1742216732.0341215
-0.37,-0.43,0.12,1742216736.845657
-0.37,-0.31,-0.06,1742216741.7638812
-0.18,-0.37,0.06,1742216751.9011323
-0.31,-0.49,0.12,1742216747.0271704
